at_ismi,at_id,bugun_tarih,bugun_sehir,bugun_kosu_no,json_dosyasi,onceki_kosu_url,at_derece,at_sira,onceki_kosu_birinci_ismi,onceki_kosu_birinci_derece,onceki_kosu_birinci_ganyan,onceki_kosu_mesafe,onceki_kosu_pist
KAPTAN ARAS,,20250926,bursa,7,bursa_atlari_20250926.json,https://yenibeygir.com/15-09-2025/bursa/2/sonuclar?kosu=141772&at=102592,1.41.63,10,ANADOLUNUN SAZI,1.38.34,"58,70",1400,Kum
MIRACLE RHYTHM,,20250926,bursa,8,bursa_atlari_20250926.json,https://yenibeygir.com/19-09-2025/bursa/8/sonuclar?kosu=141767&at=103124,1.13.56,4,BULUTKAR,1.12.40,"3,45",1200,Çim
CALIFORNIA FIRE,,20250926,bursa,8,bursa_atlari_20250926.json,,,,,,,,
DANCE OF WIND,,20250926,bursa,8,bursa_atlari_20250926.json,https://yenibeygir.com/29-08-2025/bursa/9/sonuclar?kosu=141767&at=103675,Koşmaz,,TITANIA,1.30.03,"2,15",1400,Kum
KAPTAN OĞLU,,20250926,bursa,8,bursa_atlari_20250926.json,https://yenibeygir.com/09-09-2025/kocaeli/2/sonuclar?kosu=141767&at=103296,1.17.14,6,BIG AVALANCHE,1.15.14,"1,35",1200,Kum
MASTER OF THE SEAS,,20250926,bursa,8,bursa_atlari_20250926.json,https://yenibeygir.com/19-09-2025/bursa/2/sonuclar?kosu=141767&at=104524,1.13.27,6,KEEP SAFE,1.12.20,"4,25",1200,Çim
PUSAT YİĞİDİ,,20250926,bursa,8,bursa_atlari_20250926.json,https://yenibeygir.com/08-08-2025/bursa/5/sonuclar?kosu=141767&at=102504,1.22.78,6,SUN OF THE GÖKSU,1.19.40,"3,35",1300,Çim
REBEL MOON,,20250926,bursa,8,bursa_atlari_20250926.json,https://yenibeygir.com/04-08-2025/bursa/9/sonuclar?kosu=141767&at=104308,1.15.38,5,LORD SENTINEL,1.12.10,"1,80",1200,Çim
SÜPER EFE,,20250926,bursa,8,bursa_atlari_20250926.json,https://yenibeygir.com/24-07-2025/kocaeli/7/sonuclar?kosu=141767&at=103447,1.16.21,2,CHAMOİS,1.16.02,"2,10",1200,Kum
THE BUTCHER,,20250926,bursa,8,bursa_atlari_20250926.json,https://yenibeygir.com/19-09-2025/istanbul/4/sonuclar?kosu=141767&at=103264,1.14.39,5,SOCIAL BEE,1.12.38,"3,15",1200,Kum
FLOWING FLOOD,,20250926,bursa,8,bursa_atlari_20250926.json,,,,,,,,
